model,dataset,accuracy,precision,recall,f1,fpr,day_recall,day_fpr,tp,fp,fn,tn
Proposed entro2+test_ver7,SA5,0.9736,0.8737,0.6107,0.7189,0.0052,0.6684,0.1740,2262,327,1442,63065
Proposed entro2+test_ver7,SA8,0.9857,0.9024,0.8315,0.8655,0.0053,0.8421,0.1740,3080,333,624,63059
Proposed entro2+test_ver7,SA10,0.9905,0.9157,0.9125,0.9141,0.0049,0.9053,0.1720,3380,311,324,63081
Zhang test7-aligned,SA5,0.5995,0.0652,0.4643,0.1144,0.3925,1.0000,0.9920,1712,24536,1975,37975
Zhang test7-aligned,SA8,0.6059,0.0819,0.5951,0.1440,0.3935,1.0000,0.9920,2194,24595,1493,37916
Zhang test7-aligned,SA10,0.6094,0.0909,0.6680,0.1600,0.3941,1.0000,0.9920,2463,24635,1224,37876
Zhang attack-tuned,SA5,0.6458,0.0646,0.3973,0.1111,0.3396,0.9789,0.9440,1465,21226,2222,41285
Zhang attack-tuned,SA8,0.6524,0.0844,0.5321,0.1457,0.3405,0.9947,0.9440,1962,21285,1725,41226
Zhang attack-tuned,SA10,0.6564,0.0960,0.6143,0.1661,0.3411,1.0000,0.9440,2265,21324,1422,41187
Zhang multi-clean attack-tuned,SA5,0.7244,0.0688,0.3149,0.1129,0.2514,0.9684,0.6700,1161,15715,2526,46796
Zhang multi-clean attack-tuned,SA8,0.7263,0.0799,0.3724,0.1316,0.2529,1.0000,0.6700,1373,15806,2314,46705
Zhang multi-clean attack-tuned,SA10,0.7277,0.0880,0.4152,0.1452,0.2539,1.0000,0.6700,1531,15869,2156,46642
Tufail paper_with_time,SA5,0.9181,0.2918,0.3365,0.3126,0.0478,0.6263,0.3560,1245,3021,2455,60167
Tufail paper_with_time,SA8,0.9271,0.3794,0.4997,0.4314,0.0479,0.7368,0.3560,1849,3024,1851,60164
Tufail paper_with_time,SA10,0.9321,0.4194,0.5908,0.4906,0.0479,0.8211,0.3560,2186,3026,1514,60162
Tufail engineered,SA5,0.9016,0.2357,0.3473,0.2808,0.0659,0.5789,0.3460,1285,4166,2415,59022
Tufail engineered,SA8,0.9124,0.3240,0.5373,0.4042,0.0656,0.8053,0.3460,1988,4148,1712,59040
Tufail engineered,SA10,0.9178,0.3613,0.6319,0.4597,0.0654,0.8632,0.3460,2338,4133,1362,59055
Feature-matched RF+MLP+CNN-LSTM,SA5,0.9564,0.8732,0.3242,0.4729,0.0030,0.5608,0.0709,1164,169,2426,55784
Feature-matched RF+MLP+CNN-LSTM,SA8,0.9732,0.9358,0.5964,0.7285,0.0026,0.7513,0.0709,2141,147,1449,55806
Feature-matched RF+MLP+CNN-LSTM,SA10,0.9789,0.9464,0.6889,0.7974,0.0025,0.8466,0.0709,2473,140,1117,55813
Weather-matched supervised,SA5,0.7423,0.0760,0.3276,0.1233,0.2334,0.9526,0.9220,1212,14743,2488,48421
Weather-matched supervised,SA8,0.7423,0.0760,0.3276,0.1233,0.2334,0.9526,0.9220,1212,14743,2488,48421
Weather-matched supervised,SA10,0.7423,0.0760,0.3276,0.1233,0.2334,0.9526,0.9220,1212,14743,2488,48421
Weather-matched Zhang PI,SA5,0.7882,0.0717,0.2346,0.1099,0.1791,0.6579,0.6100,865,11191,2822,51296
Weather-matched Zhang PI,SA8,0.7972,0.1151,0.3946,0.1782,0.1791,0.8158,0.6100,1455,11191,2232,51296
Weather-matched Zhang PI,SA10,0.8050,0.1498,0.5349,0.2341,0.1791,0.9000,0.6100,1972,11191,1715,51296
Weather+power supervised,SA5,0.8839,0.2009,0.3689,0.2601,0.0860,0.5421,0.3500,1365,5430,2335,57734
Weather+power supervised,SA8,0.8916,0.2575,0.5089,0.3419,0.0860,0.6895,0.3500,1883,5431,1817,57733
Weather+power supervised,SA10,0.8974,0.2950,0.6143,0.3986,0.0860,0.8158,0.3500,2273,5433,1427,57731
Weather+power Zhang PI,SA5,0.8173,0.0729,0.1945,0.1060,0.1460,0.5947,0.5740,717,9121,2970,53366
Weather+power Zhang PI,SA8,0.8215,0.0983,0.2696,0.1440,0.1460,0.6737,0.5740,994,9120,2693,53367
Weather+power Zhang PI,SA10,0.8274,0.1319,0.3759,0.1953,0.1460,0.8000,0.5740,1386,9121,2301,53366
